index,predicate
2513,address(this).balance>=amount
3311,"hasRole(_roles[role].adminRole,_msgSender())"
2862,spotPriceBefore<=maxPrice
2759,key.token0<key.token1
9788,s.entryCaller==s.nft
4694,saleIsCraptive
5915,address(this).balance>=value
156,owner()==_msgSender()
3338,isAdmin(msg.sender)
2606,_tokenAddr!=address(this)
6131,_masterCopy!=address(0)
2077,b<=a
9653,b>0
6617,account!=address(0)
7564,msg.value*100>=1&&msg.value<=maxValue
733,openTx.loanOwner!=address(0)
3433,block.timestamp>=openingTime&&block.timestamp<=closingTime
3629,b<=a
5354,"getPermissionManager(_app,_role)==address(0)"
8110,_to!=address(0)
8761,_totalSupply!=0
1393,from==msg.sender&&msg.value>=amount
794,Address.isContract(newBeacon)
79,_exists(tokenId)
6668,"_isApprovedOrOwner(_msgSender(),tokenId)"
7354,allowance>=_times*getMintPriceTrax()
6038,deadline>=block.timestamp
7599,frozen
1265,initializing||isConstructor()||!initialized
8854,balanceOf[_from]>=_value
9284,now>start&&now<start+60days
1696,adminContractAddress!=address(0)
6867,owner_!=address(0)
9166,amount>0
9237,state==LendingState.Default
1323,!nullifierHashes[_nullifierHash]
341,_amount<=balances[msg.sender]
1782,_addresses.length==_amounts.length
851,_owner==_msgSender()
7071,amount!=uint256(0)
2245,account!=address(0)
1475,_to!=address(0)
9377,investment>=minInvesment
8991,quantity<=50
7377,c>=a
5623,"_isEligibleLoan(loan,loanMetadata.status)"
4824,enabled
3209,_surveyEndBlock==0
9133,c/a==b
9242,contribution>0
9217,state==LendingState.Uninitialized
1983,!bots[from]&&!bots[to]
9829,"hasRole(PAUSER_ROLE,_msgSender())"
3153,success
2955,owner()==_msgSender()
8301,owner!=address(0)
3661,_token!=0
4863,!frozenAccount[target]
7307,c>=a
7555,PRICE.mul(numberOfcDragonss)==msg.value
5091,b<=a
3431,_cap>0
529,dividend>0
1308,address(_token)!=token
4249,"_checkOnERC721Received(address(0),to,tokenId,_data)"
4100,(z=x+y)>=x
5184,address(this).balance>=value
4075,rAmount<=_rTotal
4124,success
7502,_forTime>=1
2234,rounds[roundId].snapshotId!=0
2672,address(this).balance>=amount
7091,spender!=address(0)
1971,c>=a
7618,isContract(target)
5667,"pricingPlan.payFee(BURN_SERVICE_NAME,_amount,msg.sender)"
9687,tAmount<=_tTotal
3584,totalSupply()<MAX_GOONS
883,account!=address(0)
7683,WHITELIST.contains(msg.sender)
2554,c/a==b
251,success
4937,msg.value>=paymentTier*paymentIncrement
245,originalAddress!=newAddress
6587,_mintAmount>0
3705,address(this).balance>=amount
9040,newOwner!=address(0)
2637,senderBalance>=amount
3010,newOwner!=address(0)
6489,normalizedSum==FixedPoint.ONE
2803,_newAdmin!=address(0)
9652,c/a==b
2898,newOwner!=address(0)
4123,to!=address(0)
7342,_token!=address(0)
7410,sender!=address(0)
4285,avatar==Avatar(0)
1735,rewardScaling.time!=0
493,_fees[i].recipient!=address(0x0)
537,owner==msg.sender
3429,_weiAmount!=0
2865,spotPriceAfter<=maxPrice
7010,b>0
177,to!=address(0)
3077,"currencyToken.transferFrom(_sender,address(this),_amount)"
366,address(_cosigner)!=address(0)
1639,success
1642,isContract(target)
7159,b!=0
3556,isCapper(_msgSender())
2385,_mintAmount<=maxMintAmount
8278,initialized==false
9355,_receiver!=address(0)
6745,harvesters[msg.sender]||msg.sender==governance||msg.sender==strategist
1095,self.depositOwner()==msg.sender
152,isContract(target)
3878,_token!=address(0)
6070,teamIdPerUser[msg.sender]>0
2268,_expirationTimestamp>getCurrentTime()
1106,_d.inRedeemableState()
2078,c/a==b
4406,_exists(tokenId)
7007,c>=a
4983,owner!=address(0)
727,state
2065,owner!=address(0)
7511,isSigner[msg.sender]
9907,msg.sender==los().owner
7878,b<=a
1124,ok
7801,isQualified(address(_tdtId))
7338,amount<=maxTransactionAmount
8896,"hasRole(MINTER_ROLE,_msgSender())"
7175,currentImplementation!=implementation
4473,!grantAdvisorSupply
7033,c/a==b
820,msg.sender==pool_address
8587,allowed[_from][msg.sender]>=_value
3263,_initializing||!_initialized
7862,tokenRest>0
9192,b<=a
9586,address(this).balance>=value
9066,isRewardManager[msg.sender]
8528,length==_reserveTokens.length
9676,b<=a
9896,_id<currentId
3329,t<4
6531,normalizedWeight>=_MIN_WEIGHT
8489,_value>0
831,senderBalance>=amount
2568,!addedLpTokens[address(_lpToken)]
9416,!bots[from]&&!bots[to]
6885,address(_token)!=address(0)
4947,to!=address(0)
1602,!stopped
8624,!bots[from]&&!bots[to]
5792,c/a==b
3752,spender!=address(0)
1781,_addresses.length==_amounts.length
9318,owner!=address(0)
4348,address(this).balance>=value
67,b<=a
8726,b>0
9334,owner()==_msgSender()
9510,account!=address(0)
6991,(z=x-y)<=x
3186,address(this).balance>=amount
9755,b<=a
7331,from!=address(0)
9956,success
6204,address(this).balance>=amount
3319,sender!=address(0)
3355,n<2**32
2586,enableRewardWithdraw
99,_vaultFactorySet.remove(factory)
5605,isDynamicToken(token)
9823,account!=address(0)
2130,predicate!=address(0x0)
5073,_to!=address(0)
